"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"35ra-9556","Traffic Incidents","dataset","This is an unofficial archive of traffic incidents within Calgary. Traffic incidents are traffic disruptions affecting traffic flow, such as traffic signal issues, hazardous road conditions, stalled v","2026-05-24T16:31:02.000Z",597486,"Transportation/Transit"
"c2es-76ed","Building Permits","dataset","Building permit applications made to The City of Calgary's Planning & Development department. 
For general requests please contact propertyresearch@calgary.ca.
Visit the Calgary.ca <a href=""http://www","2026-05-23T19:03:30.000Z",308591,"Business and Economic Activity"
"jq4t-b745","Waste and Recycling Collection Schedule","dataset","To look up your address, download a calendar, or get a reminder for your next pickup date, visit:  <a href=""http://www.calgary.ca/UEP/WRS/Pages/Garbage-collection-information/Residential-services/Garb","2026-05-22T23:43:07.000Z",107602,"Services and Amenities"
"vdjc-pybd","Calgary Business Licenses","dataset","This file includes the licensed businesses in the City of Calgary. Data fields include: Trade name, Business Location, Creation Date, Status, Licence Type and Community District of the business. All b","2026-05-24T05:14:53.000Z",104393,"Business and Economic Activity"
"rbfp-3tic","Speed Limits Map","map","This dataset lists the maximum speed limits throughout Calgary. It does not list the default residential speed limit of 40 km/hr, which is being reduced from 50 km/h to 40 km/h effective May 31, 2021.","2026-05-01T19:01:36.000Z",103083,"Health and Safety"
"k7p9-kppz","Traffic Cameras","dataset","View up-to-the-minute traffic camera images of current road conditions on major routes as well as other key intersections. *These cameras are solely for traffic monitoring and not enforcement. Camera ","2026-05-24T02:51:00.000Z",82080,"Transportation/Transit"
"yj8z-ptzu","Heat map - Based on all Traffic Incidents","map","An archive of traffic incidents within Calgary updated every 10 minutes. This is an unofficial archive of traffic incidents within Calgary. Traffic incidents are traffic disruptions affecting traffic ","2026-05-24T16:11:03.000Z",76630,"Transportation/Transit"
"78gh-n26t","Community Crime Statistics","dataset","As of 2024, data is no longer provided by the Calgary Police Service. To access latest data <a href=""https://www.calgary.ca/cps/statistics/calgary-police-statistical-reports.html"" target=""_blank"">clic","2026-05-19T21:53:40.000Z",72068,"Health and Safety"
"hpnd-riq4","Calgary Transit Routes","dataset","This is a map layer representing the routes in the <a href=""https://data.calgary.ca/Transportation-Transit/Calgary-Transit-Scheduling-Data/npk7-z3bj"">Calgary Transit Scheduling dataset</a>. For more i","2026-05-24T16:03:12.000Z",65645,"Transportation/Transit"
"y47k-7e97","Traffic Camera Locations","map","View up-to-the-minute traffic camera images of current road conditions on major routes as well as other key intersections. *These cameras are solely for traffic monitoring and not enforcement. Camera ","2026-05-24T02:51:00.000Z",61651,"Transportation/Transit"
"h33q-z247","Public Water Service Lines map","map","A water service pipe, also known as a water service line, is the way drinking water is delivered to each home in Calgary. The water service pipe can be thought of as two sections:<br />(1) From the wa","2026-05-01T21:33:15.000Z",54363,"Health and Safety"
