"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"ydr8-5enu","Building Permits","dataset","<b>Note, 10/15/2025:</b> We have added a PERMIT_CONDITION column.

This dataset includes information about building permits issued by the City of Chicago from 2006 to the present, excluding permits th","2026-05-23T12:09:40.000Z",2840098,"Buildings"
"xzkq-xp2w","Current Employee Names, Salaries, and Position Titles","dataset","This dataset is a listing of all active City of Chicago employees, complete with full names, departments, positions, employment status (part-time or full-time), frequency of hourly employee –where app","2026-05-24T04:47:55.000Z",2223730,"Administration & Finance"
"dfnk-7re6","Crimes - Map","map","This dataset reflects reported incidents of crime that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Depa","2026-05-24T10:01:36.000Z",1671001,"Public Safety"
"ijzp-q8t2","Crimes - 2001 to Present","dataset","This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent sev","2026-05-24T11:37:41.000Z",1270613,"Public Safety"
"uupf-x98q","Business Licenses - Current Active","filter","Business Licenses with future expiration dates.

See the source Business Licenses dataset for more information.","2026-05-24T05:00:17.000Z",1116002,"Community & Economic Development"
"85ca-t3if","Traffic Crashes - Crashes","dataset","<b> Note: As of 5/20/2026 we have added IDOT_CONTROL_NO to the dataset.</b> -- Crash data shows information about each traffic crash on city streets within the City of Chicago limits and under the jur","2026-05-24T15:40:26.000Z",826200,"Transportation"
"4ijn-s7e5","Food Inspections","dataset","This information is derived from inspections of restaurants and other food establishments in Chicago from January 1, 2010 to the present. Inspections are performed by staff from the Chicago Department","2026-05-23T09:06:42.000Z",665226,"Health & Human Services"
"s6ha-ppgi","Affordable Rental Housing Developments","dataset","The rental housing developments listed below are among the thousands of affordable units that are supported by City of Chicago programs to maintain affordability in local neighborhoods. The list is up","2024-12-30T22:11:37.000Z",568875,"Community & Economic Development"
"7edu-s3u7","Beach Weather Stations - Automated Sensors - 2016 - Humidity","chart","The Chicago Park District maintains weather sensors at beaches along Chicago's Lake Michigan lakefront. These sensors generally capture the indicated measurements hourly while the sensors are in opera","2026-05-24T15:45:44.000Z",526353,"Parks & Recreation"
"cauq-8yn6","Boundaries - Community Areas - Map","map","Map of Chicago community areas.","2025-04-22T23:06:37.000Z",460538,"Facilities & Geographic Boundaries"
"2ft4-4uik","Lobbyist Data - Historical - Lobbyist Registry - 2010","dataset","All lobbyist registration fillings submitted to the Board of Ethics during the 2010 reporting period. / All lobbyists must register with the City of Chicago Board of Ethics by filing a Statement of Re","2015-10-23T20:57:41.000Z",372626,"Ethics"
"i6bp-fvbx","Chicago Street Names","dataset","List of all Chicago streets with suffixes and minimum and maximum address numbers.","2012-05-30T22:29:43.000Z",371959,"Transportation"
"kn9c-c2s2","Census Data - Selected socioeconomic indicators in Chicago, 2008 – 2012","dataset","This dataset contains a selection of six socioeconomic indicators of public health significance and a “hardship index,” by Chicago community area, for the years 2008 – 2012. The indicators are the per","2014-09-12T20:56:56.000Z",359170,"Health & Human Services"
"r5kz-chrr","Business Licenses","dataset","NOTE, 9/25/2025 - We have populated the Address column for <a href=""https://data.cityofchicago.org/stories/s/pnmi-a3z5"" target=""_blank"">additional records</a>.

Business licenses issued by the Departm","2026-05-23T10:04:54.000Z",347498,"Community & Economic Development"
"22u3-xenr","Building Violations","dataset","Violations issued by the Department of Buildings from 2006 to the present.  Lenders and title companies, please note: These data are historical in nature and should not be relied upon for real estate ","2026-05-24T06:59:09.000Z",343711,"Buildings"
"6c99-f7zw","EZ Pay Kiosks - Map","map","A map of the EZ Pay kiosk facilities.","2026-03-20T15:05:23.000Z",322252,"Administration & Finance"
"z8bn-74gv","Police Stations","dataset","Chicago Police district station locations and contact information.","2016-06-10T15:13:48.000Z",310481,"Public Safety"
"dpt3-jri9","Arrests","dataset","Each record in this dataset shows information about an arrest executed by the Chicago Police Department (CPD). Source data comes from the CPD Automated Arrest application. This electronic application ","2026-05-24T11:35:57.000Z",309272,"Public Safety"
"aksk-kvfp","City-Owned Land Inventory","dataset","Property currently or historically owned and managed by the City of Chicago. Information provided in the database, or on the City’s website generally, should not be used as a substitute for title rese","2026-05-23T23:05:31.000Z",256851,"Community & Economic Development"
"7ajp-yjhe","Map - Speed Camera Locations","map","This dataset shows the location, first operational date, and approaches of the speed cameras in the City of Chicago. The approach describes the originating direction of travel which is monitored by a ","2026-05-08T10:12:12.000Z",236881,"Transportation"
"9xs2-f89t","Chicago Public Schools - Progress Report Cards (2011-2012)","dataset","This dataset shows all school level performance data used to create CPS School Report Cards for the 2011-2012 school year. Metrics are described as follows (also available for download at http://bit.l","2018-09-14T21:38:54.000Z",227488,"Education"
